S.No,Name,Publisher,Architecture,ResourceId,Version,PackageFullName,InstallLocation,IsFramework,PackageFamilyName,PublisherId,PackageUserInformation,IsResourcePackage,IsBundle,IsDevelopmentMode,NonRemovable,IsPartiallyStaged,SignatureKind,Status,Dependencies
156,MicrosoftWindows.UndockedDevKit,"CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",Neutral,neutral,10.0.19041.4239,MicrosoftWindows.UndockedDevKit_10.0.19041.4239_neutral_neutral_cw5n1h2txyewy,C:\Windows\SystemApps\MicrosoftWindows.UndockedDevKit_cw5n1h2txyewy,FALSE,MicrosoftWindows.UndockedDevKit_cw5n1h2txyewy,cw5n1h2txyewy,{S-1-5-21-1428617228-3619789452-947911753-1001 [adnan]: Installed},FALSE,FALSE,FALSE,TRUE,FALSE,System,Ok,
157,NcsiUwpApp,"CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",Neutral,neutral,1000.19041.4239.0,NcsiUwpApp_1000.19041.4239.0_neutral_neutral_8wekyb3d8bbwe,C:\Windows\SystemApps\NcsiUwpApp_8wekyb3d8bbwe,FALSE,NcsiUwpApp_8wekyb3d8bbwe,8wekyb3d8bbwe,{S-1-5-21-1428617228-3619789452-947911753-1001 [adnan]: Installed},FALSE,FALSE,FALSE,TRUE,FALSE,System,Ok,
158,Windows.CBSPreview,"CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",Neutral,neutral,10.0.19041.4239,Windows.CBSPreview_10.0.19041.4239_neutral_neutral_cw5n1h2txyewy,C:\Windows\SystemApps\Windows.CBSPreview_cw5n1h2txyewy,FALSE,Windows.CBSPreview_cw5n1h2txyewy,cw5n1h2txyewy,{S-1-5-21-1428617228-3619789452-947911753-1001 [adnan]: Installed},FALSE,FALSE,FALSE,TRUE,FALSE,System,Ok,
159,Microsoft.People,"CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",X64,,10.2202.100.0,Microsoft.People_10.2202.100.0_x64__8wekyb3d8bbwe,C:\Program Files\WindowsApps\Microsoft.People_10.2202.100.0_x64__8wekyb3d8bbwe,FALSE,Microsoft.People_8wekyb3d8bbwe,8wekyb3d8bbwe,"{S-1-5-21-1428617228-3619789452-947911753-1002 [S-1-5-21-1428617228-3619789452-947911753-1002]: Staged, S-1-5-21-1428617228-3619789452-947911753-1001 [adnan]:  Installed}",FALSE,FALSE,FALSE,FALSE,FALSE,Store,DependencyIssue,"{Microsoft.NET.Native.Framework.2.2_2.2.29512.0_x64__8wekyb3d8bbwe, Microsoft.NET.Native.Runtime.2.2_2.2.28604.0_x64__8wekyb3d8bbwe,  Microsoft.VCLibs.140.00_14.0.33519.0_x64__8wekyb3d8bbwe, Microsoft.People_10.2202.100.0_neutral_split.scale-100_8wekyb3d8bbwe...}"
160,Microsoft.WindowsMaps,"CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",X64,,11.2403.4.0,Microsoft.WindowsMaps_11.2403.4.0_x64__8wekyb3d8bbwe,C:\Program Files\WindowsApps\Microsoft.WindowsMaps_11.2403.4.0_x64__8wekyb3d8bbwe,FALSE,Microsoft.WindowsMaps_8wekyb3d8bbwe,8wekyb3d8bbwe,"{S-1-5-21-1428617228-3619789452-947911753-1001 [adnan]: Installed, S-1-5-21-1428617228-3619789452-947911753-1002 [S-1-5-21-1428617228-3619789452-947911753-1002]:  Staged}",FALSE,FALSE,FALSE,FALSE,FALSE,Store,"Modified, DependencyIssue, NeedsRemediation","{Microsoft.UI.Xaml.2.7_7.2208.15002.0_x64__8wekyb3d8bbwe, Microsoft.NET.Native.Framework.2.2_2.2.29512.0_x64__8wekyb3d8bbwe,  Microsoft.NET.Native.Runtime.2.2_2.2.28604.0_x64__8wekyb3d8bbwe, Microsoft.VCLibs.140.00_14.0.33519.0_x64__8wekyb3d8bbwe...}"
161,Microsoft.WebMediaExtensions,"CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",X64,,1.1.1295.0,Microsoft.WebMediaExtensions_1.1.1295.0_x64__8wekyb3d8bbwe,C:\Program Files\WindowsApps\Microsoft.WebMediaExtensions_1.1.1295.0_x64__8wekyb3d8bbwe,FALSE,Microsoft.WebMediaExtensions_8wekyb3d8bbwe,8wekyb3d8bbwe,"{S-1-5-21-1428617228-3619789452-947911753-1002 [S-1-5-21-1428617228-3619789452-947911753-1002]: Staged, S-1-5-21-1428617228-3619789452-947911753-1001 [adnan]:  Installed}",FALSE,FALSE,FALSE,FALSE,FALSE,Store,Ok,{Microsoft.VCLibs.140.00_14.0.33519.0_x64__8wekyb3d8bbwe}
162,Microsoft.WindowsAppRuntime.1.4,"CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",X86,,4000.1227.1637.0,Microsoft.WindowsAppRuntime.1.4_4000.1227.1637.0_x86__8wekyb3d8bbwe,C:\Program Files\WindowsApps\Microsoft.WindowsAppRuntime.1.4_4000.1227.1637.0_x86__8wekyb3d8bbwe,TRUE,Microsoft.WindowsAppRuntime.1.4_8wekyb3d8bbwe,8wekyb3d8bbwe,{S-1-5-21-1428617228-3619789452-947911753-1001 [adnan]: Installed},FALSE,FALSE,FALSE,FALSE,FALSE,Store,Ok,
163,Microsoft.VCLibs.140.00.UWPDesktop,"CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",X86,,14.0.33728.0,Microsoft.VCLibs.140.00.UWPDesktop_14.0.33728.0_x86__8wekyb3d8bbwe,C:\Program Files\WindowsApps\Microsoft.VCLibs.140.00.UWPDesktop_14.0.33728.0_x86__8wekyb3d8bbwe,TRUE,Microsoft.VCLibs.140.00.UWPDesktop_8wekyb3d8bbwe,8wekyb3d8bbwe,{S-1-5-21-1428617228-3619789452-947911753-1001 [adnan]: Installed},FALSE,FALSE,FALSE,FALSE,FALSE,Store,Ok,
164,Microsoft.VCLibs.140.00.UWPDesktop,"CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",X64,,14.0.33728.0,Microsoft.VCLibs.140.00.UWPDesktop_14.0.33728.0_x64__8wekyb3d8bbwe,C:\Program Files\WindowsApps\Microsoft.VCLibs.140.00.UWPDesktop_14.0.33728.0_x64__8wekyb3d8bbwe,TRUE,Microsoft.VCLibs.140.00.UWPDesktop_8wekyb3d8bbwe,8wekyb3d8bbwe,{S-1-5-21-1428617228-3619789452-947911753-1001 [adnan]: Installed},FALSE,FALSE,FALSE,FALSE,FALSE,Store,"DeploymentInProgress, Servicing",
165,12030rocksdanister.LivelyWallpaper,CN=D80CB9E2-21E6-4D9B-8533-660C768F3C5B,X64,,1.0.144.0,12030rocksdanister.LivelyWallpaper_1.0.144.0_x64__97hta09mmv6hy,C:\Program Files\WindowsApps\12030rocksdanister.LivelyWallpaper_1.0.144.0_x64__97hta09mmv6hy,FALSE,12030rocksdanister.LivelyWallpaper_97hta09mmv6hy,97hta09mmv6hy,{S-1-5-21-1428617228-3619789452-947911753-1001 [adnan]: Installed},FALSE,FALSE,FALSE,FALSE,FALSE,Store,"Modified, NeedsRemediation","{Microsoft.VCLibs.140.00.UWPDesktop_14.0.33728.0_x64__8wekyb3d8bbwe, Microsoft.WindowsAppRuntime.1.5_5001.275.500.0_x64__8wekyb3d8bbwe}"
